AppNo,Region,Area,Activity,Guarantor,Collateral,Collateral_valuation,Age,Properties_Status,Properties_Total,Amount,Term,Historic_Loans,Current_Loans,Max_Arrears,Defaulter
350121,10,45,2,0,1,3345,27,A,2,2356,22,1,1,0,0
350122,5,35,2,0,0,,29,A,2,8305,23,1,1,0,0
350123,7,20,1,0,0,,26,A,1,3380,22,1,1,0,0
350124,10,45,10,0,1,1141,61,B,1,1628,12,6,2,99,0
350125,10,25,14,0,1,1664,35,B,2,1858,11,6,2,0,0
350126,11,35,14,0,1,26748,20,B,1,24779,23,7,5,0,0
350127,9,35,14,0,1,1923,49,B,3,2447,35,1,1,0,1
350128,8,30,18,0,1,7869,34,A,2,20660,22,6,,59,0
350129,10,5,1,0,1,4004,55,D,4,3932,23,2,,0,0
350130,11,35,17,0,0,,30,B,1,6955,35,4,1,0,0
350131,10,15,,0,1,2963,58,D,1,2370,22,2,1,0,0
350132,5,20,19,0,0,,35,A,1,13443,23,2,2,0,0
350133,10,90,14,0,1,2747,44,D,3,2951,11,6,,0,0
350134,10,20,18,0,1,11230,24,B,2,15178,22,4,3,0,0
350135,10,5,14,0,1,1008,54,B,3,12882,11,3,,0,0
350136,5,15,2,0,1,15832,36,A,2,19023,48,7,4,0,0
350137,10,70,1,0,1,17160,46,B,1,38806,35,2,1,0,0
350138,9,30,14,0,1,847,26,A,1,2469,23,2,1,0,0
350139,14,40,14,0,1,1697,55,B,2,1344,12,3,2,0,0
350140,10,5,14,0,1,2740,29,D,2,3875,13,4,2,0,0
350141,10,20,1,0,1,1251,44,D,3,2310,21,3,1,0,0
350142,8,50,14,0,0,,36,D,1,4037,22,6,2,0,0
350143,8,25,1,0,0,,48,B,1,1548,22,2,1,0,0
350144,9,25,1,0,1,1945,47,B,1,15093,59,4,,272,0
350145,12,10,1,0,1,10897,40,A,2,13380,37,2,,0,0
350146,10,5,14,0,1,8273,47,B,1,7284,11,4,1,0,0
350147,6,10,2,0,1,10500,24,A,1,19129,39,4,1,0,1
350148,7,15,19,0,0,,36,A,6,1985,47,7,6,0,1
350149,6,45,3,0,0,,39,D,1,6375,35,1,1,0,0
350150,13,5,19,0,1,2282,40,B,1,7333,18,4,1,0,0
350151,10,15,1,1,0,,40,D,2,5247,22,4,,66,0
350152,10,15,1,1,0,,52,B,2,3002,22,9,,16,0
350153,10,65,1,0,1,3329,29,B,1,4471,23,2,,0,0
350154,14,40,14,0,1,3348,20,A,1,3266,21,1,1,0,0
350155,10,70,1,0,1,2288,32,B,3,2215,23,5,1,0,0
350156,10,65,15,0,0,,33,B,2,11139,21,10,1,182,0
350157,7,50,1,0,0,,41,D,3,3814,37,1,,555,0
350158,8,10,14,0,1,3532,49,B,1,3895,23,3,,402,0
350159,7,45,19,0,0,,50,B,1,11338,35,9,1,0,0
350160,8,10,18,0,0,,46,D,1,15914,23,1,,26,0
350161,12,10,,0,0,,34,B,1,2044,11,4,1,0,0
350162,9,20,18,0,0,,47,B,2,15293,23,1,,617,0
350163,6,45,1,0,1,10377,43,B,1,14714,47,2,2,0,1
350164,8,20,8,0,0,,40,B,3,1342,24,3,2,0,0
350165,10,30,17,0,1,979,26,A,1,4938,23,5,1,3,0
350166,13,5,12,0,0,,41,D,2,25888,23,9,3,21,1
350167,7,5,19,0,0,,49,B,2,10325,47,8,6,0,0
