iter	F1	Logloss
0	0.8674992049	0.627939428
1	0.8775993196	0.5703478853
2	0.8805511741	0.5238318972
3	0.8802604386	0.4847718479
4	0.8835728767	0.4506544036
5	0.8855184956	0.4247951485
6	0.8874027911	0.4040716825
7	0.8884200444	0.3826109951
8	0.8897335176	0.3639287458
9	0.8911626912	0.3519227846
10	0.8927756349	0.3379729803
11	0.8941919232	0.3274178409
12	0.8952545564	0.3170682881
13	0.8962637186	0.3077432997
14	0.8986634044	0.2977503736
15	0.8986834482	0.2916376561
16	0.9001905164	0.2846254582
17	0.9008346656	0.2795347531
18	0.9013884544	0.273714119
19	0.9035749216	0.2668771033
20	0.9053888557	0.2617479554
21	0.905745428	0.257486294
22	0.9065869351	0.2542670805
23	0.9083582495	0.2505992708
24	0.9087687301	0.2472677218
25	0.9093778485	0.2444098737
26	0.9100868918	0.2410482377
27	0.9104479991	0.2389277436
28	0.9111716144	0.236149559
29	0.9114454915	0.2338244185
30	0.9116707112	0.2321804421
31	0.9118618102	0.230339102
32	0.9121297834	0.2283619479
33	0.9124442304	0.2263803835
34	0.9128468422	0.2248049789
35	0.9131731918	0.2233486337
36	0.9133720799	0.2216395328
37	0.9135425835	0.220443382
38	0.9139874007	0.2191807687
39	0.9140154921	0.2180454276
40	0.9142475464	0.2166188011
41	0.9149167107	0.2147651665
42	0.9156633534	0.2132610709
43	0.9161084411	0.2121997608
44	0.9166954828	0.211034608
45	0.9172157347	0.2100173394
46	0.9173289294	0.2089836389
47	0.917637894	0.2078504624
48	0.9181224949	0.2067697637
49	0.9181548979	0.2060491938
50	0.9185027979	0.2053800203
51	0.9186265119	0.2044785016
52	0.9191317372	0.2036661507
53	0.9194309784	0.2029585943
54	0.9198853501	0.2020611369
55	0.9200676446	0.2015591183
56	0.9203744439	0.2008344498
57	0.92042988	0.2001328208
58	0.9207000447	0.1996407631
59	0.9210820301	0.1986082641
60	0.9214166001	0.1976062523
61	0.9215579978	0.1967828467
62	0.9219045906	0.1959955954
63	0.9220320429	0.195596808
64	0.9222538532	0.1952121492
65	0.9224397809	0.1947391179
66	0.9227628697	0.1943248585
67	0.9228565507	0.193849825
68	0.9231971075	0.193187832
69	0.9234250221	0.1926474322
70	0.9236102226	0.1919905249
71	0.9237929857	0.1914405559
72	0.9242310182	0.1911093652
73	0.9243328978	0.1906036786
74	0.9246307464	0.1900133622
75	0.9246812953	0.1896022605
76	0.9254354483	0.1891089081
77	0.9256759604	0.1886472021
78	0.9258271015	0.1883712166
79	0.9260676219	0.1880145958
80	0.9262737636	0.1875344004
81	0.9263570073	0.1870933789
82	0.9264495013	0.186728587
83	0.9266018477	0.1863988831
84	0.9266323117	0.1860901045
85	0.9268730856	0.1857326298
86	0.9269005502	0.1854450805
87	0.9270072897	0.1852208502
88	0.9271130585	0.1848565823
89	0.9272077894	0.1845892294
90	0.9273699994	0.1841852377
91	0.9275379458	0.1838962568
92	0.9275921013	0.1836088314
93	0.9276260379	0.1833774259
94	0.9278021603	0.1830187924
95	0.9278312317	0.1827352362
96	0.9279228739	0.1825748639
97	0.9279326034	0.1823590405
98	0.9280860791	0.181848703
99	0.9281905565	0.1815569043
100	0.9282524936	0.1813338972
101	0.9283375171	0.1811746888
102	0.9284107134	0.1809250095
103	0.9284938462	0.1806660732
104	0.9285882197	0.1804422851
105	0.928717268	0.1800747835
106	0.9287861062	0.1797970905
107	0.9288522291	0.1795963479
108	0.9289482322	0.1793795088
109	0.9289783058	0.1791980695
110	0.9290401511	0.178972595
111	0.9290974597	0.1787506704
112	0.9291329902	0.1784984023
113	0.929194353	0.1783354759
114	0.9293212165	0.1780403439
115	0.929358175	0.177741591
116	0.9293942094	0.1776178754
117	0.9294730294	0.1773627778
118	0.9295261941	0.1772041135
119	0.9296685445	0.1769134238
120	0.9297527221	0.1765563144
121	0.9298695574	0.1762094138
122	0.9298847966	0.1760323997
123	0.9299468678	0.1758693262
124	0.9300019153	0.175664906
125	0.9300950292	0.1755098352
126	0.9301237062	0.1753778204
127	0.9301978419	0.1752308856
128	0.9302569591	0.1750170039
129	0.9303097867	0.1748524015
130	0.9303585737	0.1746725726
131	0.9304268232	0.174586405
132	0.9304559814	0.1743385718
133	0.9304941027	0.1741194578
134	0.9305200212	0.1739839901
135	0.9305459744	0.17377981
136	0.9305942061	0.1736043936
137	0.9306131441	0.1733939015
138	0.9306789186	0.1732006827
139	0.930755957	0.1730218601
140	0.9308014963	0.1728525619
141	0.9308691958	0.1726435292
142	0.9309026549	0.1725250064
143	0.9309571348	0.1723846058
144	0.9309454735	0.1722462621
145	0.9310517934	0.1720673959
146	0.9310864103	0.1719397237
147	0.9311563577	0.1717715376
148	0.9311960329	0.1714787185
149	0.9312429888	0.1712586525
150	0.9312678795	0.1711302073
151	0.9313406628	0.1710087406
152	0.9314241764	0.1708194519
153	0.9314699131	0.1707066807
154	0.9315063468	0.1705408179
155	0.9315297161	0.1704067923
156	0.9315716444	0.1702022043
157	0.9316060262	0.1700498433
158	0.9316590025	0.1698300073
159	0.9316994761	0.1696526855
160	0.9317254976	0.1695509977
161	0.9317925799	0.1694101683
162	0.9318511358	0.1691570871
163	0.9319209746	0.1689692571
164	0.9319561271	0.1687830859
165	0.9319938703	0.1686913948
166	0.9320318158	0.1684660992
167	0.9320699365	0.1682518997
168	0.9321096063	0.1680965837
169	0.9321452565	0.1679958472
170	0.9322142879	0.1678231465
171	0.9322832707	0.1675929045
172	0.9323103074	0.1674495806
173	0.9323594767	0.1673080044
174	0.9324111453	0.16710327
175	0.9324336711	0.1669985446
176	0.9324495958	0.1668879709
177	0.9325532163	0.1667306383
178	0.9325930513	0.166558586
179	0.9326379562	0.1664396384
180	0.9326862782	0.1662432884
181	0.932727149	0.1660621989
182	0.9327970219	0.165928281
183	0.9328150257	0.165835492
184	0.9328703764	0.1657524427
185	0.9329501615	0.1656474047
186	0.9329897717	0.1655337098
187	0.9331080878	0.1653521111
188	0.9331524178	0.1652028817
189	0.9332332004	0.1650270458
190	0.933274544	0.1649147391
191	0.933321123	0.164799952
192	0.9333509508	0.1646817708
