iter	Passed	Remaining
0	612	1837936
1	1084	1626405
2	1553	1551500
3	2106	1577969
4	2623	1571750
5	3127	1560524
6	3615	1545877
7	4126	1543453
8	4641	1542498
9	5162	1543657
10	5662	1538698
11	6174	1537543
12	6648	1527609
13	7143	1523709
14	7625	1517494
15	8094	1509537
16	8578	1505357
17	9076	1503683
18	9616	1508705
19	10133	1509925
20	10634	1508573
21	11139	1507867
22	11624	1504633
23	12115	1502297
24	12634	1503525
25	13125	1501378
26	13643	1502346
27	14105	1497156
28	14580	1493797
29	15052	1490155
30	15519	1486360
31	16003	1484308
32	16489	1482573
33	16995	1482596
34	17470	1480002
35	17973	1479818
36	18516	1482860
37	19025	1482985
38	19567	1485632
39	20108	1488007
40	20605	1487115
41	21166	1490716
42	21668	1490098
43	22177	1489924
44	22670	1488705
45	23166	1487679
46	23643	1485493
47	24101	1482217
48	24569	1479677
49	25025	1476492
50	25483	1473535
51	25957	1471574
52	26420	1469068
53	26906	1467899
54	27379	1466025
55	27874	1465405
56	28358	1464197
57	28829	1462364
58	29316	1461348
59	29837	1462027
60	30361	1462823
61	30886	1463642
62	31423	1464946
63	31917	1464208
64	32449	1465221
65	32937	1464214
66	33442	1463964
67	33962	1464380
68	34452	1463484
69	34972	1463837
70	35509	1464885
71	36008	1464350
72	36491	1463157
73	36997	1462906
74	37485	1461941
75	37986	1461486
76	38488	1461046
77	38980	1460274
78	39492	1460208
79	40017	1460635
80	40543	1461077
81	41060	1461150
82	41606	1462240
83	42126	1462395
84	42632	1462049
85	43163	1462533
86	43693	1462982
87	44220	1463280
88	44756	1463902
89	45279	1464047
90	45774	1463284
91	46277	1462778
92	46785	1462413
93	47322	1462967
94	47870	1463820
95	48368	1463154
96	48927	1464290
97	49420	1463455
98	49948	1463640
99	50489	1464184
100	51018	1464388
101	51513	1463592
102	52006	1462754
103	52487	1461584
104	52973	1460545
105	53481	1460145
106	53988	1459715
107	54471	1458619
108	54943	1457256
109	55418	1456007
110	55898	1454870
111	56389	1454051
112	56885	1453338
113	57360	1452120
114	57861	1451560
115	58378	1451401
116	58888	1451073
117	59381	1450325
118	59865	1449359
119	60363	1448715
120	60887	1448724
121	61405	1448572
122	61925	1448453
123	62431	1448000
124	62920	1447162
125	63410	1446370
126	63898	1445509
127	64380	1444527
128	64894	1444286
129	65380	1443393
130	65907	1443434
131	66396	1442610
132	66895	1442021
133	67361	1440735
134	67845	1439828
135	68373	1439855
136	68844	1438691
137	69360	1438472
138	69879	1438301
139	70360	1437370
140	70853	1436665
141	71350	1436047
142	71848	1435467
143	72357	1435085
144	72859	1434572
145	73405	1434919
146	73913	1434534
147	74413	1433965
148	74903	1433211
149	75409	1432774
150	75921	1432450
151	76440	1432259
152	76951	1431904
153	77406	1430521
154	77894	1429733
155	78368	1428715
156	78839	1427650
157	79354	1427371
158	79848	1426727
159	80353	1426280
160	80872	1426061
161	81404	1426091
162	81931	1426005
163	82437	1425560
164	82953	1425289
165	83447	1424636
166	83956	1424244
167	84479	1424088
168	84981	1423567
169	85446	1422430
170	85950	1421953
171	86466	1421676
172	86939	1420675
173	87453	1420364
174	87930	1419449
175	88393	1418314
176	88875	1417485
177	89408	1417477
178	89897	1416768
179	90387	1416066
180	90909	1415870
181	91429	1415656
182	91948	1415401
183	92454	1414956
184	92952	1414386
185	93470	1414114
186	93983	1413776
187	94495	1413407
188	95028	1413365
189	95550	1413134
190	96091	1413193
191	96596	1412716
192	97092	1412114
193	97574	1411312
194	98089	1410973
195	98578	1410272
196	99043	1409237
197	99549	1408778
198	100060	1408383
199	100578	1408104
200	101083	1407619
201	101588	1407153
202	102093	1406683
203	102572	1405849
204	103081	1405432
205	103559	1404592
206	104043	1403837
207	104547	1403349
208	105039	1402699
209	105521	1401923
210	106032	1401539
211	106514	1400764
212	107001	1400066
213	107489	1399376
214	107976	1398673
215	108448	1397779
216	108901	1396646
217	109408	1396213
218	109883	1395371
219	110378	1394782
220	110885	1394349
221	111377	1393728
222	111869	1393106
223	112363	1392505
224	112888	1392297
225	113426	1392240
226	113944	1391932
227	114469	1391703
228	114976	1391264
229	115497	1390995
230	115989	1390367
231	116456	1389441
232	116936	1388682
233	117408	1387828
234	117875	1386920
235	118416	1386872
236	118893	1386090
237	119392	1385560
238	119887	1384972
239	120376	1384325
240	120868	1383724
241	121378	1383314
242	121876	1382775
243	122365	1382132
244	122876	1381728
245	123372	1381166
246	123878	1380713
247	124412	1380575
248	124943	1380394
249	125469	1380169
250	125954	1379482
251	126465	1379081
252	126949	1378383
253	127450	1377866
254	127928	1377115
255	128434	1376661
256	128945	1376251
257	129450	1375788
258	129944	1375199
259	130454	1374785
260	130948	1374205
261	131450	1373703
262	131938	1373059
263	132444	1372611
264	132971	1372363
265	133445	1371580
266	133950	1371110
267	134427	1370358
268	134932	1369891
269	135442	1369476
270	135982	1369362
271	136501	1369033
272	136975	1368248
273	137444	1367423
274	137961	1367072
275	138492	1366856
276	138982	1366239
277	139503	1365925
278	140039	1365764
279	140596	1365790
280	141093	1365244
281	141601	1364798
282	142118	1364440
283	142649	1364212
284	143159	1363779
285	143615	1362845
286	144100	1362176
287	144612	1361764
288	145121	1361331
289	145600	1360615
290	146077	1359875
291	146605	1359613
292	147089	1358944
293	147593	1358461
294	148083	1357848
295	148599	1357479
296	149117	1357122
297	149613	1356566
298	150114	1356049
299	150624	1355621
300	151139	1355236
301	151667	1354959
302	152208	1354805
303	152745	1354609
304	153232	1353973
305	153695	1353121
306	154182	1352483
307	154659	1351767
308	155160	1351256
309	155651	1350651
310	156128	1349931
311	156631	1349442
312	157154	1349119
313	157639	1348473
314	158173	1348237
315	158714	1348069
316	159215	1347553
317	159751	1347336
318	160242	1346741
319	160743	1346229
320	161225	1345551
321	161716	1344956
322	162221	1344481
323	162739	1344103
324	163242	1343610
325	163746	1343122
326	164279	1342868
327	164805	1342564
328	165319	1342149
329	165835	1341756
330	166353	1341381
331	166876	1341041
332	167405	1340752
333	167914	1340300
334	168438	1339969
335	168939	1339447
336	169430	1338856
337	169926	1338295
338	170448	1337942
339	170942	1337377
340	171426	1336728
341	171923	1336173
342	172427	1335687
343	172916	1335077
344	173433	1334682
345	173956	1334338
346	174434	1333647
347	174948	1333226
348	175446	1332692
349	175941	1332128
350	176454	1331706
351	176950	1331152
352	177462	1330718
353	177969	1330244
354	178470	1329730
355	178966	1329174
356	179433	1328414
357	179957	1328065
358	180447	1327467
359	180920	1326753
360	181402	1326094
361	181877	1325396
362	182382	1324909
363	182851	1324166
364	183374	1323810
365	183855	1323156
366	184377	1322794
367	184880	1322298
368	185388	1321835
369	185877	1321234
370	186376	1320711
371	186866	1320119
372	187356	1319529
373	187861	1319049
374	188352	1318469
375	188869	1318068
376	189379	1317619
377	189873	1317062
378	190397	1316706
379	190919	1316342
380	191407	1315734
381	191898	1315158
382	192396	1314626
383	192912	1314217
384	193426	1313790
385	193912	1313182
386	194416	1312687
387	194872	1311872
388	195350	1311207
389	195832	1310569
390	196351	1310184
391	196847	1309635
392	197394	1309436
393	197886	1308862
394	198408	1308493
395	198945	1308216
396	199505	1308091
397	200016	1307643
398	200525	1307185
399	201018	1306620
400	201511	1306056
401	202009	1305525
402	202495	1304917
403	202989	1304359
404	203487	1303826
405	203983	1303280
406	204479	1302743
407	204974	1302189
408	205474	1301675
409	205956	1301040
410	206458	1300537
411	206954	1299997
412	207441	1299397
413	207920	1298748
414	208398	1298098
415	208877	1297448
416	209357	1296811
417	209851	1296258
418	210328	1295601
419	210831	1295108
420	211337	1294629
421	211854	1294220
422	212353	1293697
423	212859	1293219
424	213352	1292665
425	213860	1292198
426	214400	1291928
427	214905	1291442
428	215407	1290941
429	215953	1290697
430	216425	1290015
431	216897	1289335
432	217384	1288744
433	217865	1288117
434	218335	1287424
435	218833	1286899
436	219327	1286352
437	219824	1285823
438	220366	1285553
439	220878	1285109
440	221382	1284619
441	221889	1284148
442	222389	1283633
443	222869	1283006
444	223351	1282390
445	223834	1281777
446	224313	1281146
447	224808	1280604
448	225313	1280119
449	225801	1279542
450	226307	1279063
451	226828	1278668
452	227345	1278251
453	227851	1277773
454	228397	1277520
455	228907	1277065
456	229380	1276400
457	229869	1275826
458	230358	1275251
459	230828	1274573
460	231294	1273873
461	231776	1273262
462	232250	1272612
463	232757	1272137
464	233246	1271567
465	233764	1271159
466	234257	1270611
467	234753	1270074
468	235252	1269560
469	235782	1269211
470	236264	1268602
471	236744	1267986
472	237209	1267290
473	237675	1266599
474	238155	1265983
475	238663	1265520
476	239152	1264948
477	239641	1264385
478	240113	1263726
479	240585	1263072
480	241060	1262436
481	241561	1261932
482	242023	1261230
483	242522	1260718
484	243009	1260142
485	243481	1259491
486	243998	1259071
487	244535	1258755
488	245049	1258323
489	245566	1257900
490	246036	1257241
491	246520	1256654
492	246984	1255963
493	247463	1255349
494	247960	1254828
495	248431	1254176
496	248933	1253682
497	249429	1253156
498	249941	1252713
499	250430	1252153
500	250947	1251730
501	251474	1251363
502	251999	1250977
503	252525	1250601
504	253040	1250169
505	253588	1249902
506	254126	1249581
507	254655	1249216
508	255147	1248667
509	255694	1248390
510	256185	1247838
511	256688	1247347
512	257205	1246921
513	257696	1246370
514	258215	1245950
515	258745	1245590
516	259250	1245106
517	259762	1244652
518	260278	1244223
519	260794	1243787
520	261278	1243206
521	261784	1242724
522	262268	1242140
523	262784	1241708
524	263262	1241096
525	263773	1240638
526	264268	1240105
527	264766	1239590
528	265293	1239208
529	265757	1238532
530	266283	1238144
531	266785	1237645
532	267274	1237086
533	267767	1236542
534	268260	1236003
535	268783	1235602
536	269267	1235019
537	269761	1234483
538	270292	1234116
539	270782	1233565
540	271279	1233042
541	271792	1232595
542	272302	1232133
543	272820	1231703
544	273346	1231313
545	273847	1230810
546	274361	1230364
547	274916	1230100
548	275407	1229549
549	275920	1229101
550	276418	1228581
551	276940	1228169
552	277472	1227803
553	277975	1227305
554	278472	1226785
555	278976	1226290
556	279523	1225988
557	280031	1225513
558	280527	1224986
559	281063	1224634
560	281635	1224438
561	282168	1224067
562	282756	1223937
563	283310	1223658
564	283878	1223439
565	284387	1222964
566	284956	1222750
567	285462	1222260
568	286028	1222029
569	286528	1221517
570	287055	1221118
571	287540	1220537
572	288040	1220024
573	288562	1219602
574	289101	1219253
575	289627	1218847
576	290189	1218593
577	290732	1218259
578	291247	1217806
579	291770	1217386
580	292295	1216974
581	292858	1216720
